Frame,TrackID,Speed_kmh,Conf,Processing_ms
2,1,0,0.5845295190811157,42.517900466918945
3,1,56.93826,0.5480989813804626,49.16501045227051
4,1,42.286804,0.5048054456710815,45.590877532958984
5,1,36.986866,0.5530524849891663,43.64275932312012
5,4,0,0.5530524849891663,43.64275932312012
6,1,48.59698,0.6297580897808075,44.632911682128906
6,4,85.58281,0.6297580897808075,44.632911682128906
7,1,50.444756,0,43.055057525634766
7,4,70.48001,0,43.055057525634766
8,1,56.306347,0.5211007595062256,39.33596611022949
8,4,75.86707,0.5211007595062256,39.33596611022949
9,1,62.093067,0.6694473028182983,45.47309875488281
9,4,71.43202,0.6694473028182983,45.47309875488281
10,1,68.57338,0.6575433015823364,46.60320281982422
10,4,68.41106,0.6575433015823364,46.60320281982422
11,1,63.30498,0.6024940609931946,45.57228088378906
11,4,63.035057,0.6024940609931946,45.57228088378906
12,1,57.18046,0.6782747507095337,45.81880569458008
12,4,69.2454,0.6782747507095337,45.81880569458008
13,1,51.822937,0.6627416014671326,41.699886322021484
13,4,63.80497,0.6627416014671326,41.699886322021484
14,1,52.053368,0.5425606966018677,41.39375686645508
14,4,64.12854,0.5425606966018677,41.39375686645508
15,1,52.299736,0.6961833834648132,42.98281669616699
15,4,64.43585,0.6961833834648132,42.98281669616699
15,8,0,0.6961833834648132,42.98281669616699
16,1,52.533318,0.5693337321281433,43.7319278717041
16,4,64.76424,0.5693337321281433,43.7319278717041
16,8,100.49819,0.5693337321281433,43.7319278717041
17,1,52.6362,0.6240520179271698,43.38192939758301
17,4,65.6992,0.6240520179271698,43.38192939758301
17,8,101.66233,0.6240520179271698,43.38192939758301
18,1,52.88676,0,43.216705322265625
18,4,65.587296,0,43.216705322265625
18,8,93.29974,0,43.216705322265625
19,1,53.12428,0,38.060665130615234
19,4,65.92446,0,38.060665130615234
19,8,96.07143,0,38.060665130615234
20,1,52.954987,0.6749470233917236,39.81900215148926
20,4,66.70203,0.6749470233917236,39.81900215148926
20,8,97.91825,0.6749470233917236,39.81900215148926
21,1,53.61925,0.609037309885025,42.08993911743164
21,4,72.8067,0.609037309885025,42.08993911743164
