filter_mode,metric,mean,median,std
none,avg_detections_per_frame,0.13103008205055747,0.06630748522105964,0.1315435066901907
none,avg_yolo_confidence,0.419596241277939,0.4248340063811844,0.013014874454818276
none,detection_rate,0.12296931493335284,0.06444450611973024,0.1197332531241577
none,avg_speed_variance,1372.50830078125,1542.8701171875,997.2371215820312
none,max_speed_variance,2281.423095703125,2423.7734375,1887.663330078125
none,unique_track_ids,3.75,1.5,4.205650960315181
none,avg_track_duration,31.454545454545453,26.5,22.810121720248713
none,track_stability_score,354.16666666666663,416.66666666666663,170.52818274734273
gaussian,avg_detections_per_frame,0.13007951170835216,0.06725805556326497,0.12889521721808045
gaussian,avg_yolo_confidence,0.42151081871905904,0.4267803548786321,0.01316988387407325
gaussian,detection_rate,0.12059288907783952,0.06444450611973024,0.11564708705599826
gaussian,avg_speed_variance,1251.204833984375,1305.1058349609375,896.988525390625
gaussian,max_speed_variance,2223.85546875,2165.99658203125,1874.8817138671875
gaussian,unique_track_ids,3.5,1.5,3.774917217635375
gaussian,avg_track_duration,33.725,30.0,20.872874143251092
gaussian,track_stability_score,356.06060606060606,416.66666666666663,167.52533626890892
median,avg_detections_per_frame,0.1324141753355486,0.06908287308151315,0.1284954630421504
median,avg_yolo_confidence,0.4236954124581096,0.4280410076156066,0.014019014880199071
median,detection_rate,0.12435340821834397,0.06721989398018373,0.11668261821127675
median,avg_speed_variance,1242.0361328125,1239.14453125,1014.4913940429688
median,max_speed_variance,2399.125,2248.8818359375,2088.58642578125
median,unique_track_ids,3.75,2.0,3.6314597615834874
median,avg_track_duration,33.15,28.5,21.722511364941205
median,track_stability_score,314.3939393939394,333.3333333333333,145.8702235906796
