Frame,TrackID,Speed_kmh,Conf,Processing_ms
3,1,0,0.6649737656116486,46.54502868652344
3,3,0,0.6649737656116486,46.54502868652344
4,1,0.0,0.6465955525636673,40.53616523742676
4,3,0.0,0.6465955525636673,40.53616523742676
5,1,30.902014,0.6623793641726176,42.748212814331055
5,3,29.302528,0.6623793641726176,42.748212814331055
6,1,40.533833,0.6028551608324051,43.71500015258789
6,3,38.506073,0.6028551608324051,43.71500015258789
6,6,0,0.6028551608324051,43.71500015258789
7,1,37.288113,0.6452272981405258,44.14510726928711
7,3,43.66828,0.6452272981405258,44.14510726928711
7,6,5.1638017,0.6452272981405258,44.14510726928711
8,1,41.87197,0.6087681651115417,43.92194747924805
8,3,46.421448,0.6087681651115417,43.92194747924805
8,6,18.887695,0.6087681651115417,43.92194747924805
9,1,53.972137,0.6326780319213867,44.39496994018555
9,3,51.895,0.6326780319213867,44.39496994018555
9,6,22.69404,0.6326780319213867,44.39496994018555
10,1,53.77053,0.6361174285411835,40.17996788024902
10,3,58.371758,0.6361174285411835,40.17996788024902
10,6,18.3157,0.6361174285411835,40.17996788024902
11,1,48.152866,0.528942883014679,42.925119400024414
11,3,52.804756,0.528942883014679,42.925119400024414
11,6,20.726011,0.528942883014679,42.925119400024414
12,1,48.552353,0.5272248089313507,43.32709312438965
12,3,65.199234,0.5272248089313507,43.32709312438965
12,6,25.780603,0.5272248089313507,43.32709312438965
13,1,48.789566,0.5325390696525574,44.16704177856445
13,3,59.59668,0.5325390696525574,44.16704177856445
13,6,20.29737,0.5325390696525574,44.16704177856445
14,1,49.517506,0.6075737078984579,43.869972229003906
14,3,60.02059,0.6075737078984579,43.869972229003906
14,6,20.33559,0.6075737078984579,43.869972229003906
15,1,49.76192,0.5148952603340149,45.81594467163086
15,3,47.73356,0.5148952603340149,45.81594467163086
15,6,25.412985,0.5148952603340149,45.81594467163086
16,1,49.43032,0,42.160749435424805
16,3,54.204456,0,42.160749435424805
16,6,20.381561,0,42.160749435424805
17,1,56.513023,0.6636590957641602,42.545318603515625
17,3,41.89736,0.6636590957641602,42.545318603515625
17,6,20.419952,0.6636590957641602,42.545318603515625
18,1,50.288982,0,43.0300235748291
18,3,41.99247,0,43.0300235748291
18,6,25.520733,0,43.0300235748291
19,1,50.049904,0,41.58735275268555
19,3,48.5283,0,41.58735275268555
19,6,20.466196,0,41.58735275268555
20,1,44.21737,0.709862470626831,45.50313949584961
20,3,48.639427,0.709862470626831,45.50313949584961
20,6,20.994198,0.709862470626831,45.50313949584961
21,1,50.89231,0.6228754222393036,47.9123592376709
21,3,48.877003,0.6228754222393036,47.9123592376709
21,6,26.12034,0.6228754222393036,47.9123592376709
22,1,44.04311,0.7116343975067139,42.89889335632324
22,3,49.102074,0.7116343975067139,42.89889335632324
22,6,21.043055,0.7116343975067139,42.89889335632324
22,15,0,0.7116343975067139,42.89889335632324
23,1,50.767075,0.5551090240478516,43.974876403808594
23,3,49.215187,0.5551090240478516,43.974876403808594
23,6,21.083744,0.5551090240478516,43.974876403808594
23,15,0.0,0.5551090240478516,43.974876403808594
24,1,44.85025,0,45.503854751586914
24,3,49.457066,0,45.503854751586914
24,6,26.233505,0,45.503854751586914
24,15,0.0,0,45.503854751586914
25,1,51.156082,0,42.91105270385742
25,3,56.17387,0,42.91105270385742
25,6,20.643463,0,42.91105270385742
25,15,0.0,0,42.91105270385742
26,1,44.704643,0,39.44802284240723
26,3,49.47632,0,39.44802284240723
26,6,20.68258,0,39.44802284240723
26,15,0.0,0,39.44802284240723
