Frame,TrackID,Speed_kmh,Conf,Processing_ms
3,3,0,0.646805192743029,42.24395751953125
3,4,0,0.646805192743029,42.24395751953125
3,5,0,0.646805192743029,42.24395751953125
3,6,0,0.646805192743029,42.24395751953125
3,8,0,0.646805192743029,42.24395751953125
3,9,0,0.646805192743029,42.24395751953125
4,3,30.86157,0.6295662588543363,36.183834075927734
4,4,28.29078,0.6295662588543363,36.183834075927734
4,5,5.123432,0.6295662588543363,36.183834075927734
4,6,5.151459,0.6295662588543363,36.183834075927734
4,8,5.3735785,0.6295662588543363,36.183834075927734
4,9,30.497263,0.6295662588543363,36.183834075927734
5,3,45.253036,0.6218762993812561,38.89203071594238
5,4,44.603897,0.6218762993812561,38.89203071594238
5,5,19.109196,0.6218762993812561,38.89203071594238
5,6,18.814713,0.6218762993812561,38.89203071594238
5,8,19.943047,0.6218762993812561,38.89203071594238
5,9,20.157396,0.6218762993812561,38.89203071594238
5,10,0,0.6218762993812561,38.89203071594238
6,3,61.34595,0.6188963428139687,38.76185417175293
6,4,50.14726,0.6188963428139687,38.76185417175293
6,5,35.84342,0.6188963428139687,38.76185417175293
6,6,32.69021,0.6188963428139687,38.76185417175293
6,8,35.47037,0.6188963428139687,38.76185417175293
6,9,42.56767,0.6188963428139687,38.76185417175293
6,10,77.5408,0.6188963428139687,38.76185417175293
7,3,52.92885,0.6891728863120079,37.110090255737305
7,4,52.430252,0.6891728863120079,37.110090255737305
7,5,35.226475,0.6891728863120079,37.110090255737305
7,6,32.09863,0.6891728863120079,37.110090255737305
7,8,26.602777,0.6891728863120079,37.110090255737305
7,9,46.752335,0.6891728863120079,37.110090255737305
7,10,91.634544,0.6891728863120079,37.110090255737305
8,3,54.446766,0.6583708127339681,39.29877281188965
8,4,54.31547,0.6583708127339681,39.29877281188965
8,5,34.874382,0.6583708127339681,39.29877281188965
8,6,38.29941,0.6583708127339681,39.29877281188965
8,8,27.714191,0.6583708127339681,39.29877281188965
8,9,48.917324,0.6583708127339681,39.29877281188965
8,10,78.12437,0.6583708127339681,39.29877281188965
9,3,60.437256,0.6141960720221201,37.76979446411133
9,4,60.63142,0.6141960720221201,37.76979446411133
9,5,41.16402,0.6141960720221201,37.76979446411133
9,6,43.04222,0.6141960720221201,37.76979446411133
9,8,26.639477,0.6141960720221201,37.76979446411133
9,9,48.594807,0.6141960720221201,37.76979446411133
9,10,92.42896,0.6141960720221201,37.76979446411133
10,3,60.7307,0.6485513912306892,42.4189567565918
10,4,60.94572,0.6485513912306892,42.4189567565918
10,5,40.787655,0.6485513912306892,42.4189567565918
10,6,42.667175,0.6485513912306892,42.4189567565918
10,8,26.18401,0.6485513912306892,42.4189567565918
10,9,58.223747,0.6485513912306892,42.4189567565918
10,10,84.58632,0.6485513912306892,42.4189567565918
11,3,47.948967,0.6626610606908798,45.23110389709473
11,4,61.262463,0.6626610606908798,45.23110389709473
11,5,33.67342,0.6626610606908798,45.23110389709473
11,6,36.713554,0.6626610606908798,45.23110389709473
11,8,19.87111,0.6626610606908798,45.23110389709473
11,9,52.80166,0.6626610606908798,45.23110389709473
11,10,85.12816,0.6626610606908798,45.23110389709473
12,3,55.211414,0.6646423510142735,42.60420799255371
12,4,62.03651,0.6646423510142735,42.60420799255371
12,5,41.136013,0.6646423510142735,42.60420799255371
12,6,49.585518,0.6646423510142735,42.60420799255371
12,8,20.957869,0.6646423510142735,42.60420799255371
12,9,58.914314,0.6646423510142735,42.60420799255371
12,10,75.0922,0.6646423510142735,42.60420799255371
13,3,55.482758,0.619675079981486,41.02826118469238
13,4,61.884834,0.619675079981486,41.02826118469238
13,5,41.248737,0.619675079981486,41.02826118469238
13,6,43.15808,0.619675079981486,41.02826118469238
13,8,21.535185,0.619675079981486,41.02826118469238
13,9,52.97893,0.619675079981486,41.02826118469238
13,10,87.247345,0.619675079981486,41.02826118469238
14,3,49.776905,0.6507317304611206,41.11003875732422
14,4,56.282368,0.6507317304611206,41.11003875732422
14,5,40.758953,0.6507317304611206,41.11003875732422
14,6,43.592396,0.6507317304611206,41.11003875732422
14,8,28.029974,0.6507317304611206,41.11003875732422
14,9,59.916523,0.6507317304611206,41.11003875732422
14,10,65.6255,0.6507317304611206,41.11003875732422
15,3,43.566475,0.6568496922651926,39.608001708984375
15,4,56.578865,0.6568496922651926,39.608001708984375
15,5,41.978275,0.6568496922651926,39.608001708984375
15,6,43.693604,0.6568496922651926,39.608001708984375
15,8,21.58294,0.6568496922651926,39.608001708984375
15,9,53.94039,0.6568496922651926,39.608001708984375
15,10,71.74628,0.6568496922651926,39.608001708984375
16,3,50.638306,0.6504839403288705,37.65392303466797
16,4,56.877697,0.6504839403288705,37.65392303466797
16,5,42.094505,0.6504839403288705,37.65392303466797
16,6,43.7952,0.6504839403288705,37.65392303466797
16,8,21.101017,0.6504839403288705,37.65392303466797
16,9,54.19976,0.6504839403288705,37.65392303466797
16,10,72.57591,0.6504839403288705,37.65392303466797
17,3,44.364815,0.6048485892159599,40.71307182312012
17,4,50.70475,0.6048485892159599,40.71307182312012
17,5,34.8401,0.6048485892159599,40.71307182312012
17,6,25.916569,0.6048485892159599,40.71307182312012
17,8,27.07784,0.6048485892159599,40.71307182312012
17,9,42.653694,0.6048485892159599,40.71307182312012
17,10,72.54358,0.6048485892159599,40.71307182312012
17,19,0,0.6048485892159599,40.71307182312012
18,3,38.061604,0.6164821130888802,43.625831604003906
18,4,51.450844,0.6164821130888802,43.625831604003906
18,5,34.936504,0.6164821130888802,43.625831604003906
18,6,32.706306,0.6164821130888802,43.625831604003906
18,8,21.16335,0.6164821130888802,43.625831604003906
18,9,49.48179,0.6164821130888802,43.625831604003906
18,10,67.65094,0.6164821130888802,43.625831604003906
18,19,31.496912,0.6164821130888802,43.625831604003906
18,20,0,0.6164821130888802,43.625831604003906
19,3,38.162228,0.6751788357893626,39.65282440185547
19,4,58.114555,0.6751788357893626,39.65282440185547
19,5,28.11196,0.6751788357893626,39.65282440185547
19,6,32.778587,0.6751788357893626,39.65282440185547
19,8,21.749598,0.6751788357893626,39.65282440185547
19,9,42.777184,0.6751788357893626,39.65282440185547
19,10,73.408775,0.6751788357893626,39.65282440185547
19,19,32.802616,0.6751788357893626,39.65282440185547
19,20,52.228966,0.6751788357893626,39.65282440185547
20,3,38.725525,0.6348500967025756,44.09384727478027
20,4,51.864258,0.6348500967025756,44.09384727478027
20,5,28.199457,0.6348500967025756,44.09384727478027
20,6,39.63673,0.6348500967025756,44.09384727478027
