Frame,TrackID,Speed_kmh,Conf,Processing_ms
2,1,0,0.5729914704958597,38.74397277832031
2,2,0,0.5729914704958597,38.74397277832031
2,3,0,0.5729914704958597,38.74397277832031
2,4,0,0.5729914704958597,38.74397277832031
2,5,0,0.5729914704958597,38.74397277832031
3,1,55.22544,0.6366934676965078,38.94782066345215
3,2,83.93858,0.6366934676965078,38.94782066345215
3,3,101.538925,0.6366934676965078,38.94782066345215
3,4,68.28485,0.6366934676965078,38.94782066345215
3,5,29.371744,0.6366934676965078,38.94782066345215
3,6,0,0.6366934676965078,38.94782066345215
4,1,40.809235,0.6461573004722595,36.96417808532715
4,2,83.23619,0.6461573004722595,36.96417808532715
4,3,88.58263,0.6461573004722595,36.96417808532715
4,4,34.142426,0.6461573004722595,36.96417808532715
4,5,30.535748,0.6461573004722595,36.96417808532715
4,6,0.0,0.6461573004722595,36.96417808532715
5,1,45.730286,0.6475531697273255,42.7398681640625
5,2,73.73004,0.6475531697273255,42.7398681640625
5,3,93.41169,0.6475531697273255,42.7398681640625
5,4,22.761618,0.6475531697273255,42.7398681640625
5,5,30.194483,0.6475531697273255,42.7398681640625
5,6,32.379974,0.6475531697273255,42.7398681640625
6,1,48.728428,0.6273304462432862,41.8550968170166
6,2,69.543434,0.6273304462432862,41.8550968170166
6,3,88.92058,0.6273304462432862,41.8550968170166
6,4,25.642254,0.6273304462432862,41.8550968170166
6,5,30.04048,0.6273304462432862,41.8550968170166
6,6,32.03098,0.6273304462432862,41.8550968170166
7,1,50.19773,0.5868608474731445,43.21098327636719
7,2,72.419785,0.5868608474731445,43.21098327636719
7,3,92.40209,0.5868608474731445,43.21098327636719
7,4,26.505787,0.5868608474731445,43.21098327636719
7,5,29.96138,0.5868608474731445,43.21098327636719
7,6,32.50362,0.5868608474731445,43.21098327636719
8,1,56.445305,0.6280200958251954,41.708946228027344
8,2,72.96031,0.6280200958251954,41.708946228027344
8,3,93.2059,0.6280200958251954,41.708946228027344
8,4,19.739069,0.6280200958251954,41.708946228027344
8,5,30.029383,0.6280200958251954,41.708946228027344
8,6,32.300434,0.6280200958251954,41.708946228027344
9,1,62.508495,0.7032749652862549,42.22226142883301
9,2,73.48616,0.7032749652862549,42.22226142883301
9,3,93.797646,0.7032749652862549,42.22226142883301
9,4,19.739069,0.7032749652862549,42.22226142883301
9,5,30.106232,0.7032749652862549,42.22226142883301
9,6,32.300434,0.7032749652862549,42.22226142883301
10,1,62.78592,0.6320182383060455,41.356801986694336
10,2,80.13112,0.6320182383060455,41.356801986694336
10,3,94.97921,0.6320182383060455,41.356801986694336
10,4,26.127804,0.6320182383060455,41.356801986694336
10,5,30.17482,0.6320182383060455,41.356801986694336
