Scenario,Enhancement,Detections/Frame,Avg Confidence,Avg Duration
dense_fog,clahe_only,0.5377358490566038,0.6421413284306433,16.625
dense_fog,dehaze_clahe,0.5660377358490566,0.603389392691797,17.125
dense_fog,dehaze_only,0.6886792452830188,0.6012081354359786,21.0
dense_fog,denoise_clahe,0.18867924528301885,0.2962168112397194,18.166666666666668
dense_fog,full_recovery,0.7169811320754718,0.6321341937149617,38.625
dense_fog,gamma_clahe,0.4716981132075472,0.6428203142502091,16.2
dense_fog,none,0.5,0.6000227734446526,14.25
extreme_conditions,clahe_only,0.0,0.0,0.0
extreme_conditions,dehaze_clahe,0.0,0.0,0.0
extreme_conditions,dehaze_only,0.0,0.0,0.0
extreme_conditions,denoise_clahe,0.0,0.0,0.0
extreme_conditions,full_recovery,0.0,0.0,0.0
extreme_conditions,gamma_clahe,0.0,0.0,0.0
extreme_conditions,none,0.0,0.0,0.0
extreme_darkness,clahe_only,0.5283018867924528,0.5804286139706771,13.75
extreme_darkness,dehaze_clahe,0.5377358490566038,0.5894917529076338,15.4
extreme_darkness,dehaze_only,0.32075471698113206,0.5809196815604255,16.75
extreme_darkness,denoise_clahe,0.0,0.0,0.0
extreme_darkness,full_recovery,0.0,0.0,0.0
extreme_darkness,gamma_clahe,0.1132075471698113,0.29016971091429394,15.25
extreme_darkness,none,0.32075471698113206,0.5913697817022838,16.25
extreme_fog,clahe_only,0.44339622641509435,0.6221859574317932,14.375
extreme_fog,dehaze_clahe,0.5754716981132075,0.6018312676229338,13.833333333333334
extreme_fog,dehaze_only,0.5566037735849056,0.6291733522419677,26.625
extreme_fog,denoise_clahe,0.0,0.0,0.0
extreme_fog,full_recovery,0.2358490566037736,0.2946176302433014,14.5
extreme_fog,gamma_clahe,0.08490566037735844,0.2819362183411916,0.0
extreme_fog,none,0.01886792452830185,0.3111562281847,0.0
heavy_noise,clahe_only,0.0,0.0,0.0
heavy_noise,dehaze_clahe,0.0,0.0,0.0
heavy_noise,dehaze_only,0.0,0.0,0.0
heavy_noise,denoise_clahe,0.0754716981132075,0.5539084417479379,0.0
heavy_noise,full_recovery,0.05660377358490565,0.28743525842825574,0.0
heavy_noise,gamma_clahe,0.0,0.0,0.0
heavy_noise,none,0.0,0.0,0.0
mild_blur,clahe_only,0.4150943396226415,0.6236855721834934,21.875
mild_blur,dehaze_clahe,0.2075471698113207,0.5900317493237948,15.5
mild_blur,dehaze_only,0.330188679245283,0.6155550799199513,32.5
mild_blur,denoise_clahe,0.2264150943396226,0.5422192384367404,25.25
mild_blur,full_recovery,0.3018867924528302,0.5825801193714142,41.5
mild_blur,gamma_clahe,0.38679245283018865,0.637077084375966,21.0
mild_blur,none,0.43396226415094336,0.6314952202925557,20.833333333333332
mild_darkness,clahe_only,0.7169811320754718,0.6228703805522191,26.583333333333336
mild_darkness,dehaze_clahe,0.6792452830188679,0.6053159539162214,19.541666666666668
mild_darkness,dehaze_only,0.6037735849056604,0.6080851295000114,17.0
mild_darkness,denoise_clahe,0.4716981132075472,0.6267370669679209,15.0
mild_darkness,full_recovery,0.6509433962264151,0.6276026528760007,36.0
mild_darkness,gamma_clahe,0.7264150943396226,0.6221521047382861,25.975
mild_darkness,none,0.6698113207547169,0.6197543058359454,31.916666666666668
mild_fog,clahe_only,0.6886792452830188,0.6118020004841871,22.857142857142858
mild_fog,dehaze_clahe,0.44339622641509435,0.6097245200242831,12.666666666666666
mild_fog,dehaze_only,0.5660377358490566,0.6026720800688536,18.1
mild_fog,denoise_clahe,0.37735849056603765,0.6451733284874966,12.666666666666666
mild_fog,full_recovery,0.7830188679245282,0.631814825777889,26.25
mild_fog,gamma_clahe,0.6792452830188679,0.602624265391093,24.875
mild_fog,none,0.5660377358490566,0.6261854097247124,26.75
mild_noise,clahe_only,0.03773584905660375,0.26390044391155243,0.0
mild_noise,dehaze_clahe,0.0566037735849056,0.550132793188095,0.0
mild_noise,dehaze_only,0.0094339622641509,0.2778792679309845,0.0
mild_noise,denoise_clahe,0.31132075471698106,0.5655439760415785,17.833333333333332
mild_noise,full_recovery,0.330188679245283,0.5790088471646111,23.0
mild_noise,gamma_clahe,0.0660377358490566,0.2791822467531477,8.5
mild_noise,none,0.0283018867924528,0.29781632622083026,0.0
night_fog,clahe_only,0.0,0.0,0.0
night_fog,dehaze_clahe,0.0,0.0,0.0
night_fog,dehaze_only,0.0,0.0,0.0
night_fog,denoise_clahe,0.0094339622641509,0.27916133403778076,0.0
night_fog,full_recovery,0.0283018867924528,0.2797254224618276,0.0
night_fog,gamma_clahe,0.0,0.0,0.0
night_fog,none,0.0,0.0,0.0
pristine,clahe_only,0.7830188679245282,0.6078542944310326,28.166666666666664
pristine,dehaze_clahe,0.42452830188679247,0.6177652946540287,14.166666666666666
pristine,dehaze_only,0.5188679245283019,0.6058090369809758,15.0
pristine,denoise_clahe,0.660377358490566,0.6242207279893872,27.416666666666664
pristine,full_recovery,0.7830188679245282,0.6296035502534925,26.15
pristine,gamma_clahe,0.7169811320754716,0.6187840221593013,28.095238095238095
pristine,none,0.7358490566037735,0.6197329639242246,26.875
rainy_night,clahe_only,0.0,0.0,0.0
rainy_night,dehaze_clahe,0.0,0.0,0.0
rainy_night,dehaze_only,0.0,0.0,0.0
rainy_night,denoise_clahe,0.0,0.0,0.0
rainy_night,full_recovery,0.0,0.0,0.0
rainy_night,gamma_clahe,0.0,0.0,0.0
rainy_night,none,0.0,0.0,0.0
severe_blur,clahe_only,0.02830188679245275,0.5507357269525528,0.0
severe_blur,dehaze_clahe,0.037735849056603696,0.6382902165253956,0.0
severe_blur,dehaze_only,0.0094339622641509,0.255824476480484,0.0
severe_blur,denoise_clahe,0.0,0.0,0.0
severe_blur,full_recovery,0.01886792452830185,0.2572573572397232,0.0
severe_blur,gamma_clahe,0.02830188679245275,0.5573320686817169,0.0
severe_blur,none,0.0,0.0,0.0
severe_darkness,clahe_only,0.7264150943396226,0.5960633402604323,22.875
severe_darkness,dehaze_clahe,0.6226415094339622,0.6220871148010094,13.833333333333334
severe_darkness,dehaze_only,0.5471698113207547,0.603985327397841,22.5
severe_darkness,denoise_clahe,0.2735849056603773,0.6060181718181681,18.5
severe_darkness,full_recovery,0.2547169811320754,0.6313135408692889,21.0
severe_darkness,gamma_clahe,0.490566037735849,0.5894428185927563,23.833333333333336
severe_darkness,none,0.5566037735849056,0.5898208439517088,23.5
