video_name,filter_mode,total_frames,total_detections,avg_detections_per_frame,avg_yolo_confidence,frames_with_detections,detection_rate,avg_speed_variance,max_speed_variance,unique_track_ids,avg_track_duration,track_stability_score
cctv052x2004080516x01644,none,53,126,2.3773584905660377,0.4333159669419649,51,0.9622641509433962,72.92115783691406,145.74378967285156,9,30.88888888888889,100.0
cctv052x2004080516x01644,gaussian,53,20,0.37735849056603776,0.3734929383628898,18,0.33962264150943394,13392.4580078125,26687.80859375,2,39.5,333.3333333333333
cctv052x2004080516x01644,median,53,70,1.320754716981132,0.4115365850147103,44,0.8301886792452831,155.421142578125,259.4363098144531,5,27.4,166.66666666666666
cctv052x2004080517x01654,none,53,204,3.849056603773585,0.44213709394539025,53,1.0,79.32623291015625,162.1203155517578,11,28.727272727272727,83.33333333333333
cctv052x2004080517x01654,gaussian,53,230,4.339622641509434,0.43961148816883333,53,1.0,175.0968780517578,1098.0106201171875,11,37.27272727272727,83.33333333333333
cctv052x2004080517x01654,median,53,327,6.169811320754717,0.4735651095091186,53,1.0,96.39419555664062,234.3242645263672,12,35.416666666666664,76.92307692307692
cctv052x2004080517x01661,none,53,140,2.641509433962264,0.43194656898061207,52,0.9811320754716981,50.69353103637695,67.49739837646484,7,27.142857142857142,125.0
cctv052x2004080517x01661,gaussian,53,219,4.132075471698113,0.44759974878506964,53,1.0,107.20156860351562,482.6177978515625,8,37.5,111.11111111111111
cctv052x2004080517x01661,median,53,241,4.547169811320755,0.4714792403957133,53,1.0,252.67393493652344,1882.3636474609375,11,34.63636363636363,83.33333333333333
cctv052x2004080517x01662,none,53,253,4.773584905660377,0.45881495002460604,53,1.0,255.874267578125,2171.720458984375,11,36.54545454545455,83.33333333333333
cctv052x2004080517x01662,gaussian,53,297,5.60377358490566,0.4633418845781891,53,1.0,61.33510208129883,94.78158569335938,12,37.583333333333336,76.92307692307692
cctv052x2004080517x01662,median,53,360,6.7924528301886795,0.49428906984557613,53,1.0,495.7546081542969,7047.8984375,16,37.0,58.8235294117647
cctv052x2004080518x01671,none,53,235,4.433962264150943,0.4481615512848573,51,0.9622641509433962,148.4674072265625,452.2951354980469,12,40.0,76.92307692307692
cctv052x2004080518x01671,gaussian,53,328,6.188679245283019,0.48265938477201775,53,1.0,111.08397674560547,253.20933532714844,18,36.94444444444444,52.63157894736842
cctv052x2004080518x01671,median,53,346,6.528301886792453,0.49485489122125487,53,1.0,126.90304565429688,267.9261169433594,17,37.470588235294116,55.55555555555556
cctv052x2004080613x00015,none,53,170,3.207547169811321,0.47156173426030884,53,1.0,631.5947875976562,4448.55078125,15,29.0,62.5
cctv052x2004080613x00015,gaussian,53,114,2.150943396226415,0.4625982203417354,51,0.9622641509433962,461.6448974609375,1166.68212890625,9,28.88888888888889,100.0
cctv052x2004080613x00015,median,53,165,3.1132075471698113,0.4859892914489824,53,1.0,279.7972717285156,994.9139404296875,12,27.416666666666668,76.92307692307692
cctv052x2004080613x00016,none,53,124,2.339622641509434,0.4869961098128674,48,0.9056603773584906,347.8821716308594,885.644775390625,11,26.727272727272727,83.33333333333333
cctv052x2004080613x00016,gaussian,53,89,1.679245283018868,0.46445831827569806,49,0.9245283018867925,1442.3074951171875,7764.28271484375,7,28.0,125.0
cctv052x2004080613x00016,median,53,98,1.849056603773585,0.47598809029972344,44,0.8301886792452831,462.4515380859375,1553.216552734375,9,24.22222222222222,100.0
