Unique IDs,Avg Duration,Avg Confidence,Total Detections,Enhancement Rate,brightness,fog_level,contrast,strategy,scenario
4,31.75,0.6150781982220136,52,0.0,152.7777265133648,0.4387719432112468,50.28481595473709,baseline,pristine
5,34.2,0.6230548631686431,52,1.0,152.7777265133648,0.4387719432112468,50.28481595473709,fog_aware,pristine
4,31.75,0.6150781982220136,52,0.0,152.7777265133648,0.4387719432112468,50.28481595473709,darkness_aware,pristine
5,34.2,0.6230548631686431,52,1.0,152.7777265133648,0.4387719432112468,50.28481595473709,hybrid_adaptive,pristine
3,25.333333333333332,0.6329123377799988,34,1.0,152.7777265133648,0.4387719432112468,50.28481595473709,advanced_hybrid_contrast,pristine
7,32.0,0.6074662375868413,57,1.0,152.7777265133648,0.4387719432112468,50.28481595473709,universal_clahe,pristine
4,25.5,0.6187168806791306,48,0.0,181.11200987617926,0.3050025983860526,20.084476602542075,baseline,dense_fog
4,29.25,0.6282741928642447,44,0.9433962264150944,181.11200987617926,0.3050025983860526,20.084476602542075,fog_aware,dense_fog
4,25.5,0.6187168806791306,48,0.0,181.11200987617926,0.3050025983860526,20.084476602542075,darkness_aware,dense_fog
4,29.25,0.6282741928642447,44,0.9433962264150944,181.11200987617926,0.3050025983860526,20.084476602542075,hybrid_adaptive,dense_fog
3,25.0,0.6278420341014862,50,1.0,181.11200987617926,0.3050025983860526,20.084476602542075,advanced_hybrid_contrast,dense_fog
4,29.25,0.6244388047386619,51,1.0,181.11200987617926,0.3050025983860526,20.084476602542075,universal_clahe,dense_fog
0,0.0,0.6223124563694,2,0.0,190.54426567413523,0.26034019684918,10.037369555658417,baseline,extreme_fog
0,0.0,0.6223124563694,2,0.0,190.54426567413523,0.26034019684918,10.037369555658417,fog_aware,extreme_fog
0,0.0,0.6223124563694,2,0.0,190.54426567413523,0.26034019684918,10.037369555658417,darkness_aware,extreme_fog
0,0.0,0.6223124563694,2,0.0,190.54426567413523,0.26034019684918,10.037369555658417,hybrid_adaptive,extreme_fog
4,25.0,0.6352826491478951,31,1.0,190.54426567413523,0.26034019684918,10.037369555658417,advanced_hybrid_contrast,extreme_fog
4,25.75,0.6344600319862366,42,1.0,190.54426567413523,0.26034019684918,10.037369555658417,universal_clahe,extreme_fog
3,25.0,0.6032144455682664,42,0.0,60.74123992727987,0.7770534176917622,20.11324217249404,baseline,severe_darkness
3,25.0,0.6238934687205724,35,1.0,60.74123992727987,0.7770534176917622,20.11324217249404,fog_aware,severe_darkness
4,29.25,0.6217278423516647,46,1.0,60.74123992727987,0.7770534176917622,20.11324217249404,darkness_aware,severe_darkness
5,28.4,0.6097192921728458,53,1.0,60.74123992727987,0.7770534176917622,20.11324217249404,hybrid_adaptive,severe_darkness
3,25.666666666666668,0.624914907357272,34,1.0,60.74123992727987,0.7770534176917622,20.11324217249404,advanced_hybrid_contrast,severe_darkness
4,23.25,0.611130388883444,52,1.0,60.74123992727987,0.7770534176917622,20.11324217249404,universal_clahe,severe_darkness
3,24.666666666666668,0.6265671415762468,33,0.0,125.72592275943397,0.5184071373242694,15.114930494732915,baseline,night_fog
3,25.333333333333332,0.6362861471298413,39,1.0,125.72592275943397,0.5184071373242694,15.114930494732915,fog_aware,night_fog
3,24.666666666666668,0.6265671415762468,33,0.0,125.72592275943397,0.5184071373242694,15.114930494732915,darkness_aware,night_fog
3,25.333333333333332,0.6362861471298413,39,1.0,125.72592275943397,0.5184071373242694,15.114930494732915,hybrid_adaptive,night_fog
4,29.0,0.6326055188436766,37,1.0,125.72592275943397,0.5184071373242694,15.114930494732915,advanced_hybrid_contrast,night_fog
3,25.333333333333332,0.6333766163781632,43,1.0,125.72592275943397,0.5184071373242694,15.114930494732915,universal_clahe,night_fog
