filter_mode,metric,mean,median,std
none,avg_detections_per_frame,3.4193421992731334,3.207547169811321,1.6581475685456653
none,avg_yolo_confidence,0.4602274590028137,0.45400819565817624,0.03099045322546644
none,detection_rate,0.9219881099655206,0.9803921568627451,0.11789050874591499
none,avg_speed_variance,482.6571044921875,262.17962646484375,533.591796875
none,max_speed_variance,3403.003173828125,1071.3646240234375,6176.69140625
none,unique_track_ids,11.215686274509803,12.0,3.3741446293850075
none,avg_track_duration,30.375287572865425,30.0,5.7519250817091
none,track_stability_score,90.96694785549276,76.92307692307692,36.56862375740759
gaussian,avg_detections_per_frame,2.892029455865147,2.150943396226415,1.842273488242998
gaussian,avg_yolo_confidence,0.45690185113087983,0.4581863292568439,0.031175899543109988
gaussian,detection_rate,0.8501258094336427,0.9245283018867925,0.19432350834453183
gaussian,avg_speed_variance,903.09423828125,202.88365173339844,2297.240478515625
gaussian,max_speed_variance,3939.501953125,683.2952270507812,9888.1201171875
gaussian,unique_track_ids,9.117647058823529,9.0,4.600285834356977
gaussian,avg_track_duration,31.62058179069425,33.61538461538461,6.78493892259053
gaussian,track_stability_score,134.86398017221182,100.0,98.25781730109362
median,avg_detections_per_frame,3.926632618324439,3.207547169811321,2.452934391270463
median,avg_yolo_confidence,0.47839945555165964,0.47608452870244794,0.02853249866609175
median,detection_rate,0.8905771420950632,0.9803921568627451,0.15779421308205852
median,avg_speed_variance,466.0853576660156,276.9330749511719,573.8104248046875
median,max_speed_variance,2723.967529296875,875.5806884765625,4839.83837890625
median,unique_track_ids,11.509803921568627,12.0,4.582030327522676
median,avg_track_duration,31.8030399088221,32.285714285714285,6.941670464916765
median,track_stability_score,96.62986593190564,76.92307692307692,51.277682271077154
