Unique IDs,Avg Duration,Avg Confidence,Total Detections,Enhancement Rate,brightness,fog_level,contrast,params,strategy
0,0,0.6223124563694,2,0.0,190.54426567413523,0.26034019684918,10.037369555658417,"{'fog_threshold': 0.3, 'omega': 0.85}",fog_aware
0,0,0.6223124563694,2,0.0,190.54426567413523,0.26034019684918,10.037369555658417,"{'fog_threshold': 0.3, 'omega': 0.9}",fog_aware
0,0,0.6223124563694,2,0.0,190.54426567413523,0.26034019684918,10.037369555658417,"{'fog_threshold': 0.3, 'omega': 0.95}",fog_aware
0,0,0.6223124563694,2,0.0,190.54426567413523,0.26034019684918,10.037369555658417,"{'fog_threshold': 0.4, 'omega': 0.85}",fog_aware
0,0,0.6223124563694,2,0.0,190.54426567413523,0.26034019684918,10.037369555658417,"{'fog_threshold': 0.4, 'omega': 0.9}",fog_aware
0,0,0.6223124563694,2,0.0,190.54426567413523,0.26034019684918,10.037369555658417,"{'fog_threshold': 0.4, 'omega': 0.95}",fog_aware
0,0,0.6223124563694,2,0.0,190.54426567413523,0.26034019684918,10.037369555658417,"{'fog_threshold': 0.5, 'omega': 0.85}",fog_aware
0,0,0.6223124563694,2,0.0,190.54426567413523,0.26034019684918,10.037369555658417,"{'fog_threshold': 0.5, 'omega': 0.9}",fog_aware
0,0,0.6223124563694,2,0.0,190.54426567413523,0.26034019684918,10.037369555658417,"{'fog_threshold': 0.5, 'omega': 0.95}",fog_aware
0,0,0.6223124563694,2,0.0,190.54426567413523,0.26034019684918,10.037369555658417,"{'fog_threshold': 0.6, 'omega': 0.85}",fog_aware
0,0,0.6223124563694,2,0.0,190.54426567413523,0.26034019684918,10.037369555658417,"{'fog_threshold': 0.6, 'omega': 0.9}",fog_aware
0,0,0.6223124563694,2,0.0,190.54426567413523,0.26034019684918,10.037369555658417,"{'fog_threshold': 0.6, 'omega': 0.95}",fog_aware
0,0,0.6223124563694,2,0.0,190.54426567413523,0.26034019684918,10.037369555658417,"{'fog_threshold': 0.7, 'omega': 0.85}",fog_aware
0,0,0.6223124563694,2,0.0,190.54426567413523,0.26034019684918,10.037369555658417,"{'fog_threshold': 0.7, 'omega': 0.9}",fog_aware
0,0,0.6223124563694,2,0.0,190.54426567413523,0.26034019684918,10.037369555658417,"{'fog_threshold': 0.7, 'omega': 0.95}",fog_aware
