Video,Method,Unique IDs,Avg Duration (frames),Avg Confidence,Detections/Frame,FPS,Avg Brightness
cctv052x2004080611x01894.avi,baseline,4,31.75,0.6150781982220136,0.9811320754716981,4.360069567138503,152.7777265133648
cctv052x2004080611x01894.avi,dehaze_only,4,30.0,0.6269804212180051,0.8301886792452831,4.897810102864581,109.8959831957547
cctv052x2004080611x01894.avi,adaptive_dehaze,4,31.75,0.6150781982220136,0.9811320754716981,4.526990664830168,152.7777265133648
cctv052x2004080611x01894.avi,clahe_only,7,32.0,0.6074662375868413,1.0754716981132075,4.128593232218032,149.23025329205976
cctv052x2004080611x01894.avi,dehaze_clahe,3,25.333333333333332,0.6368991136550903,0.5849056603773585,6.39783258125784,124.20936492727985
cctv052x2004080611x01894.avi,light_cascade,1,51.0,0.6097955792038529,0.5094339622641509,7.119765562672998,123.57685141509434
cctv052x2004080611x01894.avi,original_cascade,1,34.0,0.561981700562142,0.6981132075471698,5.57660635159033,115.05028916077045
cctv052x2004080612x00002.avi,baseline,2,22.0,0.6243877296264355,0.49056603773584906,7.557154466149643,121.37431849449686
cctv052x2004080612x00002.avi,dehaze_only,0,0.0,0.5846376527439464,0.20754716981132076,12.9579105072351,77.2726159591195
cctv052x2004080612x00002.avi,adaptive_dehaze,2,22.0,0.6243877296264355,0.49056603773584906,7.508083738372504,121.37431849449686
cctv052x2004080612x00002.avi,clahe_only,3,24.333333333333332,0.608242351275224,0.49056603773584906,7.3677954868206985,129.03817708333332
cctv052x2004080612x00002.avi,dehaze_clahe,1,3.0,0.5986314756529671,0.2641509433962264,10.844830813592166,98.6572766804245
cctv052x2004080612x00002.avi,light_cascade,1,4.0,0.600571846260744,0.32075471698113206,10.11363822276162,97.01688580974844
cctv052x2004080612x00002.avi,original_cascade,1,40.0,0.6099484754460198,0.5283018867924528,6.679386915411592,61.17622616941825
cctv052x2004080616x00046.avi,baseline,5,39.2,0.6168865780217931,2.056603773584906,2.8580270402510437,131.46370012775157
cctv052x2004080616x00046.avi,dehaze_only,7,33.714285714285715,0.6079347301019381,2.7547169811320753,2.417470488774707,96.01252358490565
cctv052x2004080616x00046.avi,adaptive_dehaze,5,39.2,0.6162835097094195,2.056603773584906,2.834643824233503,131.35337902908805
cctv052x2004080616x00046.avi,clahe_only,10,39.0,0.6086647819869125,2.981132075471698,2.3455661785856874,132.85008230149373
cctv052x2004080616x00046.avi,dehaze_clahe,7,27.0,0.6084666894829791,2.169811320754717,2.714883637548012,113.69161089819184
cctv052x2004080616x00046.avi,light_cascade,10,36.7,0.6091133949288912,3.943396226415094,2.232259730797031,112.73253070951256
cctv052x2004080616x00046.avi,original_cascade,1,21.0,0.6119914190335707,0.41509433962264153,8.231491807448405,94.4138637480346
cctv052x2004080616x00052.avi,baseline,11,38.36363636363637,0.585312968728566,3.811320754716981,2.3901200393419466,130.3998152515723
cctv052x2004080616x00052.avi,dehaze_only,9,39.888888888888886,0.5963736345006533,3.6037735849056602,2.4096048989428813,103.60937450864779
cctv052x2004080616x00052.avi,adaptive_dehaze,11,38.36363636363637,0.585312968728566,3.811320754716981,2.1888310221687437,130.3998152515723
cctv052x2004080616x00052.avi,clahe_only,10,36.6,0.5844170277071471,3.811320754716981,2.155574766590627,132.26647159984276
cctv052x2004080616x00052.avi,dehaze_clahe,8,37.625,0.5909674604174117,2.6792452830188678,2.446002517390395,116.64854658018868
cctv052x2004080616x00052.avi,light_cascade,15,36.2,0.5934358097707169,5.962264150943396,1.9938182856610143,115.89343332350629
cctv052x2004080616x00052.avi,original_cascade,9,34.44444444444444,0.5828911378979683,2.2641509433962264,2.7331745611410194,102.4575395538522
cctv052x2004080620x00107.avi,baseline,9,24.11111111111111,0.6323550029804832,1.7924528301886793,3.2428836625809683,153.85800240762578
cctv052x2004080620x00107.avi,dehaze_only,10,26.3,0.6167032724932621,1.7924528301886793,3.1580356993183525,150.52989829009434
cctv052x2004080620x00107.avi,adaptive_dehaze,9,24.11111111111111,0.6323550029804832,1.7924528301886793,3.1372634560178883,153.85800240762578
cctv052x2004080620x00107.avi,clahe_only,7,20.571428571428573,0.627306294767824,1.3773584905660377,3.644993147830192,146.71955311517297
cctv052x2004080620x00107.avi,dehaze_clahe,8,23.625,0.6228062078572701,1.3018867924528301,3.516824016742313,146.9780080581761
cctv052x2004080620x00107.avi,light_cascade,7,25.714285714285715,0.6398197502306063,1.3773584905660377,3.2325067478242633,147.29594781839623
cctv052x2004080620x00107.avi,original_cascade,8,22.125,0.6289355701475001,1.2641509433962264,3.4792118145708657,157.64630404874217
